2,494,386,275,293,425,434,866,1132,1003
4,1652,1161,806,516,1176,1699,1845,1788,1859
6,3407,1785,1148,1046,2112,2080,2609,2726,2460
8,4621,2754,1571,1482,3811,2591,3829,3164,2967
10,13028,3880,1940,1846,5196,3568,4605,3918,3767
12,9341,4448,2358,2221,4614,4371,5740,4267,4390
14,13568,7223,2944,2534,5791,5211,7122,5035,4860
16,15442,6584,3223,2831,7875,6451,8215,5429,5191
18,20395,7633,3670,3157,9486,7529,9824,6347,5993
20,23628,10352,4158,3557,10338,8387,10520,6909,6836
22,28858,11008,4613,4586,10409,9347,12170,7411,7329
24,37641,14062,5269,4251,12271,10240,13458,7981,8139
