2,1150214,584804,557280,560235,449102,507873,539515,330650,313870
4,609927,1040997,945192,821806,903450,940738,962773,945434,1145842
6,1359178,1359026,1393121,1364007,1357767,1341778,1317090,1490219,1306782
8,1644155,962753,1810177,1700007,1538810,1711781,1788063,84068822,35438083
10,1954881,1765165,1502466,1785031,1810330,2052676,2197281,2203963,2172730
12,1987794,2072145,2261059,2332868,2271653,2990670,2736188,2995100,2972143
14,2443468,2318144,2965610,2163265,2575211,3501178,2311409,137006083,221618989
16,3159546,3349606,2442822,1881886,2387060,2986622,2975039,354898521,324369315
18,3523064,3350460,3861886,3880360,3687740,3574937,3472061,711994860,606949220
20,4174989,3553073,4120066,4488015,3941263,3760552,3976047,570527733,710540200
22,4406868,4349800,5238406,5221504,4368707,3474145,4224339,920150048,820891804
24,4417603,4804374,5579694,6089646,4909265,4727897,4952805,843465197,963360593
