2,669179,535154,554393,542913,551018,525929,568117,417484,400578
4,702024,1141727,781473,794287,912767,1069936,978196,914477,1046956
6,1440336,1072729,799121,978003,1137344,1304422,1367249,1287443,1337173
8,1463785,1559935,1609251,1331565,1218862,1465962,1756872,1501851,2059805
10,1812537,1427505,1314575,1571295,1812503,1396702,2386685,945048,1135435
12,1708105,1996216,2056620,2023414,2118941,1595023,2795887,2035428,1630966
14,2330114,1474050,2311921,1675006,2021940,2372280,2457286,2271631,2472873
16,2008203,2487920,2867891,2251384,2320768,2488892,2712349,4002348,2243300
18,2519047,2560675,3026757,3034839,3773956,2975457,1972012,3015383,2704578
20,3333396,3488750,3458478,3519954,3491796,3462114,2575872,3328850,3572373
22,3743628,3771196,3793134,3753518,3318985,3597299,3802588,3795714,3730640
24,4238178,4075828,2936217,3915819,3498664,4147865,4178998,4120285,4514833
