2,3166,3202,3134,4909,3373,3639,3808,3698,3843
4,7343,6492,8535,11314,6537,6528,6776,8050,8044
6,12876,9724,14316,18395,10432,10482,10370,11755,11645
8,18079,13105,21823,24680,13832,13701,14379,14923,15027
10,26428,16538,28273,31109,18322,17509,18776,18626,18957
12,32157,20033,35664,37020,21504,21325,22000,21958,22439
14,41557,24513,38523,43582,30171,28803,30121,25492,25562
16,46514,29949,45874,49602,37667,36764,38373,29128,29058
18,62913,34457,50140,56516,45747,45318,45984,32908,32339
20,66076,41296,59668,61413,53899,52847,54253,36197,36009
22,78581,46364,63245,68107,61947,60079,62623,39450,39388
24,93534,53574,75886,74252,69958,67947,70326,43098,43092
