2,1015,654,525,652,769,1094,955,1127,1138
4,2056,1148,1278,1509,1696,1710,2021,2261,2193
6,3968,2353,1990,3143,2926,2531,3147,2955,3078
8,8497,2933,2839,3946,3989,3091,4344,3966,3953
10,12631,5593,3738,5627,4791,4352,5969,4752,4592
12,19638,5247,4656,5979,6664,5419,7075,5325,5373
14,26307,4879,5403,6933,6726,6523,8554,6308,6060
16,24427,5801,6424,8244,10116,8084,9521,7226,7126
18,29999,8049,7210,10162,9863,8928,11863,7790,8031
20,30160,7665,8544,10307,13312,10713,13426,8742,8681
22,39246,9537,9138,12401,13458,12228,15549,9427,9408
24,41094,9937,10228,13123,14598,13528,17613,10399,10384
